,NEIGHBORHOOD,COMMUNITY,Google Lat,Google Long
0,BRYN MAWR,CALHOUN-ISLE,44.9737211,-93.3083766
1,CARAG,CALHOUN-ISLE,44.9410562,-93.2910616
2,CEDAR-ISLES-DEAN,CALHOUN-ISLE,44.9541657,-93.3215343
3,EAST ISLES,CALHOUN-ISLE,44.9559465,-93.3002709
4,ECCO,CALHOUN-ISLE,44.8558502,-93.2425252
5,KENWOOD,CALHOUN-ISLE,44.9591051,-93.3120017
6,LOWRY HILL,CALHOUN-ISLE,44.9670505,-93.2954416
7,LOWRY HILL EAST,CALHOUN-ISLE,44.9555767,-93.2918753
8,WEST CALHOUN,CALHOUN-ISLE,44.9447012,-93.3263003
9,CAMDEN INDUSTRIAL AREA,CAMDEN,45.0356784,-93.2866941
10,CLEVELAND,CAMDEN,45.0197135,-93.313961
11,FOLWELL,CAMDEN,45.0201506,-93.2988263
12,HUMBOLDT INDUST AREA,CAMDEN,45.042081,-93.3076868
13,LIND-BOHANON,CAMDEN,45.043912,-93.2914654
14,MCKINLEY,CAMDEN,45.0185087,-93.2880242
15,SHINGLE CREEK,CAMDEN,45.0479383,-93.3070973
16,VICTORY,CAMDEN,45.0336776,-93.3155786
17,WEBBER-CAMDEN,CAMDEN,45.0315971,-93.2982686
18,DOWNTOWN EAST,CENTRAL,44.9759107,-93.2545872
19,DOWNTOWN WEST,CENTRAL,44.9742101,-93.2733285
20,ELLIOT PARK,CENTRAL,44.969848,-93.2627316
21,LORING PARK,CENTRAL,44.9688325,-93.2793834
22,NORTHLOOP,CENTRAL,44.9841988,-93.2835891
23,STEVENS SQ/LORING HGTS,CENTRAL,44.9642046,-93.2766019
24,COOPER,LONGFELLOW,44.9480046,-93.2106111
25,HIAWATHA,LONGFELLOW,44.9200154,-93.2106111
26,HOWE,LONGFELLOW,44.9338711,-93.2156354
27,LONGFELLOW,LONGFELLOW,44.9483822,-93.234299
28,SEWARD,LONGFELLOW,44.9591899,-93.2345689
29,HARRISON,NEAR NORTH,44.9815156,-93.303221
30,HAWTHORNE,NEAR NORTH,45.0059311,-93.2879962
31,JORDAN,NEAR NORTH,45.0060449,-93.3022593
32,NEAR NORTH,NEAR NORTH,44.9919418,-93.2941662
33,SUMNER-GLENWOOD,NEAR NORTH,44.9842036,-93.2908943
34,WILLARD-HAY,NEAR NORTH,44.9964492,-93.3112679
35,DIAMOND LAKE,NOKOMIS,44.8961119,-93.2628247
36,ERICSSON,NOKOMIS,44.9194499,-93.2307113
37,FIELD,NOKOMIS,44.9148436,-93.269679
38,HALE,NOKOMIS,44.9088522,-93.2524301
39,KEEWAYDIN,NOKOMIS,44.9099744,-93.2357376
40,MINNEHAHA,NOKOMIS,44.9105408,-93.2156354
41,MORRIS PARK,NOKOMIS,44.9012054,-93.2156354
42,NORTHROP,NOKOMIS,44.9211422,-93.2533339
43,PAGE,NOKOMIS,44.9078431,-93.269679
44,REGINA,NOKOMIS,44.9229736,-93.2709366
45,WENONAH,NOKOMIS,44.9017298,-93.2323782
46,AUDUBON PARK,NORTHEAST,45.0172235,-93.2378076
47,BELTRAMI,NORTHEAST,44.994943,-93.2415998
48,BOTTINEAU,NORTHEAST,45.0081846,-93.2683692
49,COLUMBIA,NORTHEAST,45.0259608,-93.2590201
50,HOLLAND,NORTHEAST,45.0119978,-93.2574303
51,LOGAN PARK,NORTHEAST,45.0028347,-93.2513347
52,MARSHALL TERRACE,NORTHEAST,45.0210186,-93.268571
53,NORTHEAST PARK,NORTHEAST,45.0017152,-93.2422764
54,SHERIDAN,NORTHEAST,45.0024045,-93.2664456
55,ST ANTHONY EAST,NORTHEAST,44.9946574,-93.2516685
56,ST ANTHONY WEST,NORTHEAST,44.9932439,-93.2603479
57,WAITE PARK,NORTHEAST,45.0313309,-93.2343487
58,WINDOM PARK,NORTHEAST,45.0091148,-93.2356274
59,EAST PHILLIPS,PHILLIPS,44.9555248,-93.2575367
60,MIDTOWN PHILLIPS,PHILLIPS,44.9560454,-93.2561126
61,PHILLIPS WEST,PHILLIPS,44.9511035,-93.2659066
62,VENTURA VILLAGE,PHILLIPS,44.9618314,-93.2582424
63,BANCROFT,POWDERHORN,44.9292714,-93.2545911
64,BRYANT,POWDERHORN,44.9311739,-93.269679
65,CENTRAL,POWDERHORN,44.976463,-93.2761116
66,CORCORAN,POWDERHORN,44.9429482,-93.2406483
67,LYNDALE,POWDERHORN,44.9429412,-93.2843232
68,POWDERHORN PARK,POWDERHORN,44.9398026,-93.2533339
69,STANDISH,POWDERHORN,44.9323256,-93.2384953
70,WHITTIER,POWDERHORN,44.9555348,-93.2796514
71,ARMATAGE,SOUTHWEST,44.8979405,-93.3112262
72,EAST HARRIET,SOUTHWEST,44.9293225,-93.2935778
73,FULTON,SOUTHWEST,44.9121918,-93.3212646
74,KENNY,SOUTHWEST,44.8989169,-93.2960941
75,KING FIELD,SOUTHWEST,44.9268577,-93.2805443
76,LINDEN HILLS,SOUTHWEST,44.9284494,-93.3237824
77,LYNNHURST,SOUTHWEST,44.9106583,-93.2935778
78,TANGLETOWN,SOUTHWEST,44.9127498,-93.2780655
79,WINDOM,SOUTHWEST,44.8978338,-93.2832943
80,CEDAR RSIDE/WEST BANK,UNIVERSITY,44.9668972,-93.2434698
81,COMO,UNIVERSITY,44.9878368,-93.2228067
82,MARCY-HOLMES,UNIVERSITY,44.9853721,-93.2447234
83,MID CITY INDUSTRIAL AR,UNIVERSITY,44.9988622,-93.2177712
84,NICOLLET IS/EAST BANK,UNIVERSITY,44.9736773,-93.231077
85,PROSPECT PK/E RIVER RD,UNIVERSITY,44.9609032,-93.2129011
86,UNIVERSITY,UNIVERSITY,44.9753541,-93.2330739